,FUENTE INFO,NOMBRE ANFITRION,TIEMPO DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,TIPO DE PROPIEDAD,TIPO DE CUARTO,AMENIDADES,TIENE DISPONIBILIDAD,RESERVA INSTANTANEA,ID ANUNCIIO,TASA DE RESPUESTA,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,PRECIO,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,REVIEWS POR MES,FECHA INICIO ANFITRION
0,city scrape,Noelle,within a few hours,88%,f,Private room in rental unit,Private room,"[""Hair dryer"", ""Bathtub"", ""Stove"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Hangers"", ""TV with standard cable"", ""Paid washer \u2013 In building"", ""Iron"", ""Oven"", ""Host greets you"", ""Refrigerator"", ""Heating"", ""Shared hot tub"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Wifi""]",t,f,42515,100.0,1.0,1.0,46.20198,6.15672,1.0,1.1,1.0,1.0,89.0,3.0,1125.0,3.0,3.0,1125,1125,3.0,1125.0,28,58,88,363,10.2,6.0,4.74,4.73,4.78,4.86,4.84,4.85,4.55,1.0,0.0,1.0,0.49,2010-07-30
1,city scrape,Mike,within an hour,100%,t,Entire rental unit,Entire home/apt,"[""Hair dryer"", ""Lake access"", ""Private entrance"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Free dryer \u2013 In unit"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Smoke alarm"", ""Host greets you"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Heating"", ""Hot water"", ""Shampoo"", ""Wifi""]",t,t,203997,100.0,6.0,12.0,46.19964,6.1558,2.0,1.0,1.0,0.0,130.0,5.0,730.0,5.0,5.0,1125,1125,5.0,1125.0,11,41,65,65,10.2,6.0,4.91,4.98,4.89,4.97,4.99,4.96,4.81,2.0,2.0,0.0,0.6,2011-08-21
2,city scrape,Gaby,within an hour,100%,t,Entire rental unit,Entire home/apt,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Lake access"", ""Freezer"", ""Books and reading material"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Outdoor furniture"", ""BBQ grill"", ""Indoor fireplace"", ""Dishes and silverware"", ""Kitchen"", ""Fireplace guards"", ""Essentials"", ""Baking sheet"", ""Dining table"", ""Dedicated workspace"", ""Portable fans"", ""High chair"", ""Bed linens"", ""Hangers"", ""Free dryer \u2013 In building"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Fire pit"", ""Paid parking off premises"", ""Clothing storage: closet and dresser"", ""Children\u2019s dinnerware"", ""Smoke alarm"", ""Oven"", ""Toaster"", ""Body soap"", ""Baby safety gates"", ""Outdoor dining area"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Shared beach access"", ""Dishwasher"", ""Microwave"", ""Free street parking"", ""Crib"", ""Cleaning products"", ""Extra pillows and blankets"", ""Heating"", ""Baby bath"", ""Children\u2019s books and toys"", ""Cooking basics"", ""Hot water"", ""TV"", ""Free washer \u2013 In building"", ""Wifi""]",t,f,276025,100.0,2.0,2.0,46.2,6.16833,3.0,1.0,1.0,1.4,70.0,7.0,360.0,7.0,7.0,1125,1125,7.0,1125.0,2,2,2,156,10.2,4.0,4.64,4.7,4.74,4.88,4.89,4.77,4.68,1.0,1.0,0.0,0.78,2011-11-25
3,city scrape,Mike,within an hour,100%,t,Entire rental unit,Entire home/apt,"[""Hair dryer"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""Paid parking off premises"", ""40 inch HDTV with standard cable"", ""Smoke alarm"", ""Oven"", ""Electric stove"", ""Fire extinguisher"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Heating"", ""Shampoo"", ""Cooking basics"", ""Hot water"", ""Courtyard view"", ""Wifi"", ""Self check-in""]",t,t,338682,100.0,6.0,12.0,46.20708,6.15545,2.0,1.1,1.0,1.0,133.0,5.0,365.0,3.0,5.0,1125,1125,5.0,1125.0,13,13,22,22,10.2,5.0,4.82,4.86,4.76,4.9,4.89,4.87,4.7,2.0,2.0,0.0,0.77,2011-08-21
4,city scrape,Oscar,within an hour,89%,t,Private room in rental unit,Private room,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Stove"", ""Washer"", ""Wine glasses"", ""Outdoor furniture"", ""Dishes and silverware"", ""Kitchen"", ""Smoking allowed"", ""Essentials"", ""Elevator"", ""Pets allowed"", ""Window guards"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Ethernet connection"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Mountain view"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Paid parking off premises"", ""Outdoor dining area"", ""Host greets you"", ""Outdoor playground"", ""Patio or balcony"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Free street parking"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Sun loungers"", ""Paid parking on premises"", ""Single level home"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Blender"", ""Room-darkening shades""]",t,f,399388,100.0,2.0,3.0,46.18904,6.13908,2.0,1.0,1.0,1.0,53.0,2.0,1125.0,2.0,2.0,1125,1125,2.0,1125.0,4,4,27,269,57.0,7.0,4.85,4.81,4.88,4.95,4.89,4.7,4.7,2.0,0.0,2.0,0.38,2012-03-23
5,city scrape,Julik,within a day,100%,f,Private room in loft,Private room,"[""Hair dryer"", ""Lake access"", ""Stove"", ""Washer"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Mountain view"", ""City skyline view"", ""Paid parking off premises"", ""Oven"", ""Host greets you"", ""Private living room"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Free street parking"", ""Heating"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Shared hot tub"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi""]",t,f,411058,100.0,1.0,3.0,46.21127,6.1454,2.0,1.1,1.0,1.0,125.0,2.0,7.0,2.0,2.0,7,7,2.0,7.0,23,53,83,83,56.0,3.0,4.79,4.84,4.86,4.94,4.96,4.89,4.64,1.0,0.0,1.0,0.43,2012-02-06
6,city scrape,Mark,within an hour,90%,f,Private room in rental unit,Private room,"[""Hair dryer"", ""Fast wifi \u2013 92 Mbps"", ""Lake access"", ""Shared patio or balcony"", ""Indoor fireplace: wood-burning"", ""Private entrance"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Garden view"", ""Electrolux induction stove"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""72 inch HDTV with Amazon Prime Video"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Oven"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Board games"", ""Free street parking"", ""Heating"", ""Cooking basics"", ""Hot water"", ""Shampoo""]",t,t,419631,100.0,2.0,2.0,46.1995,6.17308,2.0,1.1,1.0,1.0,120.0,2.0,14.0,2.0,2.0,1125,1125,2.0,1125.0,28,32,32,32,10.2,4.0,4.94,4.98,5.0,4.99,4.99,4.86,4.91,2.0,1.0,1.0,0.57,2012-04-07
7,city scrape,Enrica,within an hour,73%,t,Entire rental unit,Entire home/apt,"[""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Stove"", ""Washer"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Ethernet connection"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Smoke alarm"", ""Oven"", ""Host greets you"", ""Fire extinguisher"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Free street parking"", ""Heating"", ""Pocket wifi"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi""]",t,f,626512,100.0,2.0,3.0,46.2114,6.15107,2.0,1.0,1.0,2.0,121.0,2.7,700.0,3.0,2.8,700,700,2.7,700.0,7,7,7,7,52.0,13.0,4.98,4.94,4.96,5.0,4.98,4.83,4.73,1.0,1.0,0.0,0.35,2012-07-31
8,city scrape,Eliora Elena,within an hour,98%,t,Entire rental unit,Entire home/apt,"[""Refrigerator"", ""Essentials"", ""Hot tub"", ""Coffee maker"", ""Elevator"", ""Heating"", ""Self check-in"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""Hangers"", ""Lockbox""]",t,f,649023,100.0,1.0,2.0,46.20175,6.14852,2.0,1.0,1.0,1.0,101.0,1.0,21.0,1.0,1.0,1125,1125,1.0,1125.0,20,50,80,168,10.2,2.5,4.91,4.95,4.92,4.97,4.97,4.99,4.85,1.0,1.0,0.0,1.08,2012-05-15
9,city scrape,Jean-Luc,within an hour,100%,f,Entire rental unit,Entire home/apt,"[""Hair dryer"", ""Bio Balance body soap"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser"", ""Wine glasses"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Pets allowed"", ""Shower gel"", ""44 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, Roku"", ""Dining table"", ""Coffee"", ""Free dryer \u2013 In unit"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""City skyline view"", ""Paid parking off premises"", ""Smoke alarm"", ""Oven"", ""Host greets you"", ""Autre stainless steel electric stove"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Free street parking"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Room-darkening shades""]",t,f,664917,100.0,4.0,4.0,46.20542,6.12802,2.0,1.0,1.0,2.0,118.0,2.7,730.0,2.6,2.8,1125,1125,2.7,1125.0,28,32,32,32,47.0,2.0,4.89,4.89,4.93,4.96,4.98,4.8,4.76,4.0,4.0,0.0,0.32,2012-08-24
